edgeID,startNode,endNode
HHALL00102_HHALL00202,HHALL00102,HHALL00202
HHALL00202_HRETL00102,HHALL00202,HRETL00102
HHALL00202_HHALL00302,HHALL00202,HHALL00302
HHALL00302_HSTAI00102,HHALL00302,HSTAI00102
HHALL00102_HHALL00402,HHALL00102,HHALL00402
HHALL00402_HHALL00502,HHALL00402,HHALL00502
HHALL00502_HRETL00202,HHALL00502,HRETL00202
HRETL00202_HBATH00102,HRETL00202,HBATH00102
HHALL00502_HRETL00302,HHALL00502,HRETL00302
HHALL00502_HHALL00602,HHALL00502,HHALL00602
HHALL00602_HHALL00702,HHALL00602,HHALL00702
HHALL00702_HSTAI00202,HHALL00702,HSTAI00202
HHALL00702_HHALL00802,HHALL00702,HHALL00802
HHALL00802_HHALL00902,HHALL00802,HHALL00902
HHALL00902_HDEPT00102,HHALL00902,HDEPT00102
HHALL00403_HHALL00303,HHALL00403,HHALL00303
HHALL00303_HHALL00203,HHALL00303,HHALL00203
HHALL00203_HLABS00103,HHALL00203,HLABS00103
HHALL00203_HHALL00103,HHALL00203,HHALL00103
