nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
AHALL0090G,1524,2726,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL01001,1605,2568,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL0070G,1712,2647,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL0050G,1713,2558,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AREST00101,1556,2604,FLOOR_ONE,BTM,REST,Restroom; S elevator; 1st floor,Restroom,Team A
AREST00103,1552,2854,FLOOR_THREE,BTM,REST,Restroom; BTM conference center; 3rd floor,Restroom,Team A
AHALL002L2,1698,2776,FLOOR_LTWO,BTM,HALL,Hallway Intersection,Hall,Team A
AELEV00S0G,1523,2763,FLOOR_GROUND,BTM,ELEV,Elevator S G,Elevator S G,Team A
ADEPT0020G,1552,2843,FLOOR_GROUND,BTM,DEPT,Infusion Waiting Area ,Infusion Waiting Area,Team A
AINFO001L2,1681,2747,FLOOR_LTWO,BTM,INFO,BTM Security Desk,Security,Team A
ALABS00203,1671,2695,FLOOR_THREE,BTM,LABS,Clinical Trials ,Clinical Trials,Team A
AHALL00901,1581,2566,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL0010G,1677,2530,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
ACONF0010G,1671,2648,FLOOR_GROUND,BTM,CONF,Schlagler Innovation Lobby,Schlagler Lobby,Team A
AELEV00S01,1534,2777,FLOOR_ONE,BTM,ELEV,Elevator S 01,Elevator S 1,Team A
ADEPT00101,1401,2628,FLOOR_ONE,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room,Team A
ADEPT00102,1395,2674,FLOOR_TWO,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,Team A
ADEPT00301,986,2852,FLOOR_ONE,BTM,DEPT,CART Waiting,CART Waiting,Team A
AELEV00S03,1539,2773,FLOOR_THREE,BTM,ELEV,Elevator S; Floor 3,Elevator S 3,Team A
AHALL0140G,1599,2727,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AELEV00S02,1532,2777,FLOOR_TWO,BTM,ELEV,Elevator S 02,Elevator S 2,Team A
AHALL00602,1683,2543,FLOOR_TWO,BTM,HALL,Hall,Hall,Team A
AHALL00603,1580,2858,FLOOR_THREE,BTM,HALL,HallNode,HallNode,Team A
AHALL00801,1532,2739,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL00402,1528,2745,FLOOR_TWO,BTM,HALL,Hall,Hall,Team A
AHALL00403,1650,2766,FLOOR_THREE,BTM,HALL,Hall,Hall,Team A
AHALL00601,1678,2865,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
ALABS001L2,1667,2682,FLOOR_LTWO,BTM,LABS,MRI/CT Scan Imaging,MRI/CT Imaging,Team A
AHALL00202,1590,2604,FLOOR_TWO,BTM,HALL,Hall,Hall,Team A
AHALL00203,1600,2732,FLOOR_THREE,BTM,HALL,Hall,Hall,Team A
AHALL00401,1420,2737,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL00201,1608,2596,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AEXIT0010G,1678,2460,FLOOR_GROUND,BTM,EXIT,Fenwood Road,Fenwood Road,Team A
AHALL004L2,1698,2687,FLOOR_LTWO,BTM,HALL,Hall,Hall,Team A
AHALL0120G,1548,2538,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL0100G,1600,2853,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AINFO0010G,1484,2710,FLOOR_GROUND,BTM,INFO,BTM Security Desk,Security,Team A
AELEV00SL2,1630,2742,FLOOR_LTWO,BTM,ELEV,Elevator S L2,Elevator S L2,Team A
AHALL0080G,1602,2706,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
ASTAI0010G,1622,2556,FLOOR_GROUND,BTM,STAI,Schlagler Stairs,Schlager Stairs,Team A
AHALL0060G,1595,2583,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL0040G,1528,2531,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL003L2,1701,2734,FLOOR_LTWO,BTM,HALL,Hall,Hall,Team A
ADEPT0010G,1530,2495,FLOOR_GROUND,BTM,DEPT,Neuro Testing Waiting Area ,Neuro Wating Area,Team A
AHALL001L2,1627,2782,FLOOR_LTWO,BTM,HALL,Hallway to Elevator,Hall,Team A
ASTAI00101,1642,2596,FLOOR_ONE,BTM,STAI,Cafe Stairs,Cafe Staris,Team A
ASTAI00102,1650,2602,FLOOR_TWO,BTM,STAI,Stairs; Floor 2,Stairs Floor 2,Team A
ALABS00103,1611,2678,FLOOR_THREE,BTM,LABS,Innovation Hub,Innovation Hub,Team A
AHALL0020G,1623,2531,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AEXIT001L2,1696,2788,FLOOR_LTWO,BTM,EXIT,Parking Garage L2,Parking Garage L2,Team A
ADEPT00201,1720,2847,FLOOR_ONE,BTM,DEPT,MS Waiting,MS Waiting,Team A
AHALL0150G,1598,2532,FLOOR_GROUND,BTM,HALL,Hall,Hall,Team A
AHALL00503,1650,2855,FLOOR_THREE,BTM,HALL,Hall,Hall,Team A
AHALL00701,1017,2865,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL00303,1650,2732,FLOOR_THREE,BTM,HALL,Hall,Hall,Team A
AHALL00501,1420,2865,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL00502,1398,2745,FLOOR_TWO,BTM,HALL,Hall,Hall,Team A
AHALL00103,1534,2732,FLOOR_THREE,BTM,HALL,Hall,Hall,Team A
AHALL00301,1608,2737,FLOOR_ONE,BTM,HALL,Hall,Hall,Team A
AHALL00302,1590,2745,FLOOR_TWO,BTM,HALL,Hall,Hall,Team A
