feedbackID,rating,additionalInfo
1,5,Awesome Kiosk Application
2,0,Not a fan
3,5,I am a fan of the application
4,4,Pretty cool application
5,5,Made my life much easier
6,2,I see room for improvement with the app
7,3,Application is average
8,5,This made my visit much easier
9,1,So much blue
10,1,Not a fan of the color scheme
11,5,Tutorial helped me so much
12,1,Ehh definitely could've been done better
13,5,Couldn't ask for more from a kiosk app
14,5,Made navigating the hospital a breeze
15,1,Doesn't seem like this application is made for visitors
16,1,I don't have access to a QR scanner
17,2,I see room for improvement with the app
18,2,Got lost
19,3,Average
20,3,App is fine but could be better
21,3,Average application
22,4,Directions were great
